seed,execution_path,path,condition,attack,round,accuracy,macro_f1,evaluation_reward
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,8,0.9696666666666668,0.9691591651069612,2.8483333333333336
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,9,0.9663333333333334,0.9656486571596534,2.831666666666667
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,10,0.9586666666666668,0.957544762486685,2.793333333333334
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,11,0.9586666666666668,0.957545882569424,2.793333333333334
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,12,0.9586666666666668,0.9575589806109668,2.793333333333334
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,13,0.9636666666666668,0.9628389697504282,2.8183333333333342
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,14,0.964,0.963364536251851,2.8200000000000003
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,15,0.9653333333333334,0.9647649127697362,2.826666666666667
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,16,0.9626666666666668,0.9620345379591362,2.8133333333333344
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,17,0.9686666666666668,0.9680888636368664,2.8433333333333337
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,18,0.9653333333333334,0.9647786777034736,2.826666666666667
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,19,0.9693333333333334,0.9688183236665776,2.8466666666666667
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,20,0.9696666666666668,0.9691272405693652,2.8483333333333336
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,21,0.9696666666666668,0.9691396848756064,2.8483333333333336
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,22,0.969,0.9684457459458758,2.8449999999999998
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,23,0.9696666666666668,0.9691644900920636,2.8483333333333336
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,24,0.9696666666666668,0.9691332552382402,2.8483333333333336
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,25,0.9686666666666668,0.9681304727338012,2.8433333333333337
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,26,0.9703333333333334,0.9698153361640688,2.8516666666666666
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,27,0.9723333333333334,0.9719176685346232,2.8616666666666672
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,28,0.9743333333333334,0.9739676438410638,2.871666666666667
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,29,0.9743333333333334,0.9739676438410638,2.871666666666667
2025,ep_twa-ppa,twa_ppa,adversarial,label_flipping,30,0.9733333333333334,0.9730380516133784,2.866666666666667
2025,ep_0,fedavg,adversarial,data_poisoning,1,0.805,0.8064223143224252,2.0250000000000004
2025,ep_0,fedavg,adversarial,data_poisoning,2,0.803,0.8047545593126408,2.0150000000000006
2025,ep_0,fedavg,adversarial,data_poisoning,3,0.937,0.9372739884996946,2.6850000000000005
2025,ep_0,fedavg,adversarial,data_poisoning,4,0.9533333333333334,0.9534371980859886,2.7666666666666666
2025,ep_0,fedavg,adversarial,data_poisoning,5,0.9663333333333334,0.9663653251979052,2.831666666666667
2025,ep_0,fedavg,adversarial,data_poisoning,6,0.9736666666666668,0.9732775383671732,2.868333333333334
2025,ep_0,fedavg,adversarial,data_poisoning,7,0.9703333333333334,0.9698306881521128,2.8516666666666666
2025,ep_0,fedavg,adversarial,data_poisoning,8,0.9686666666666668,0.9681044307161636,2.8433333333333337
2025,ep_0,fedavg,adversarial,data_poisoning,9,0.9543333333333334,0.953014710086254,2.7716666666666665
2025,ep_0,fedavg,adversarial,data_poisoning,10,0.9633333333333334,0.962867194972068,2.8166666666666664
2025,ep_0,fedavg,adversarial,data_poisoning,11,0.9663333333333334,0.9658409480008916,2.831666666666667
2025,ep_0,fedavg,adversarial,data_poisoning,12,0.9616666666666668,0.9609743951076144,2.8083333333333336
2025,ep_0,fedavg,adversarial,data_poisoning,13,0.9636666666666668,0.9632473933910044,2.8183333333333342
2025,ep_0,fedavg,adversarial,data_poisoning,14,0.966,0.9656834083757444,2.83
2025,ep_0,fedavg,adversarial,data_poisoning,15,0.965,0.9647440149792832,2.825
2025,ep_0,fedavg,adversarial,data_poisoning,16,0.964,0.9637680275589956,2.8200000000000003
2025,ep_0,fedavg,adversarial,data_poisoning,17,0.9656666666666668,0.9654055581115998,2.828333333333334
2025,ep_0,fedavg,adversarial,data_poisoning,18,0.9326666666666666,0.9326635666195116,2.663333333333333
2025,ep_0,fedavg,adversarial,data_poisoning,19,0.9353333333333332,0.935729281447522,2.676666666666666
2025,ep_0,fedavg,adversarial,data_poisoning,20,0.9286666666666666,0.9295152983034244,2.6433333333333335
2025,ep_0,fedavg,adversarial,data_poisoning,21,0.7086666666666667,0.7017916018413068,1.5433333333333334
2025,ep_0,fedavg,adversarial,data_poisoning,22,0.6506666666666666,0.6329238088288582,1.253333333333333
2025,ep_0,fedavg,adversarial,data_poisoning,23,0.4833333333333333,0.3656687769479733,0.4166666666666665
2025,ep_0,fedavg,adversarial,data_poisoning,24,0.4493333333333333,0.344606950142222,0.2466666666666666
2025,ep_0,fedavg,adversarial,data_poisoning,25,0.358,0.2638815802408971,-0.20999999999999996
2025,ep_0,fedavg,adversarial,data_poisoning,26,0.5396666666666666,0.4956398941505747,0.6983333333333333
2025,ep_0,fedavg,adversarial,data_poisoning,27,0.452,0.3470038568932801,0.26000000000000023
2025,ep_0,fedavg,adversarial,data_poisoning,28,0.4173333333333333,0.3713356442496006,0.08666666666666645
2025,ep_0,fedavg,adversarial,data_poisoning,29,0.465,0.4189798239697396,0.3250000000000002
2025,ep_0,fedavg,adversarial,data_poisoning,30,0.5223333333333333,0.4683764987185301,0.6116666666666664
